id,candidate_id,reviewer_id,decision,reviewed_at,criteria,flags,comment,previous_status,new_status
r-nb-001,10000000-0000-4000-8000-000000000001,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-nb-002,10000000-0000-4000-8000-000000000002,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-nb-003,10000000-0000-4000-8000-000000000003,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-nb-004,10000000-0000-4000-8000-000000000004,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-nb-007,10000000-0000-4000-8000-000000000007,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-nb-008,10000000-0000-4000-8000-000000000008,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-nb-009,10000000-0000-4000-8000-000000000009,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-nb-010,10000000-0000-4000-8000-000000000010,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-nb-011,10000000-0000-4000-8000-000000000011,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-nb-012,10000000-0000-4000-8000-000000000012,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-nb-013,10000000-0000-4000-8000-000000000013,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-nb-014,10000000-0000-4000-8000-000000000014,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-nb-015,10000000-0000-4000-8000-000000000015,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-nb-016,10000000-0000-4000-8000-000000000016,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-nb-017,10000000-0000-4000-8000-000000000017,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
r-nb-018,10000000-0000-4000-8000-000000000018,maintainer:example,approve,2026-01-01T00:00:00Z,common=yes;easy_to_read=yes;easy_to_pronounce=yes;easy_to_spell=yes;neutral=yes;not_proper_name=yes;not_brand=yes;not_abbreviation=yes;suitable_for_passphrase=yes,[],M1 example review,needs_review,approved
